,ConflictID,ConflictCode,Year,Country,SideA,SideA2nd,SideB,SideB2nd,SideBID,Strategic,StrategicSIDE,ChildSoldier,ChildSoldierSide,CS_Side,CS_SideB_ID,SexExploitForcedMarriage,SexExploitForcedMarriageSide,SexFM_SideB_ID,SexFM_Side,Trafficking,TraffickingSide,Traf_Side,ForcedLabour,ForcedLabourSIDE,Forced_Side,Incomp,Terr,Int,CumInt,Type,Startdate,Startprec,Startdate2,Startprec2,EpEnd,EpEndDate,EpEndPrec,Duration,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
0,221,5,1990,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,,775,,,,775,3,17.1
1,221,5,1991,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,1949-01-15,1,0,,,,775,,,,775,3,17.1
2,221,5,1992,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,2,1,3,1948-12-31,3,1949-01-15,1,1,1992-11-22,1.0,16032.0,775,,,,775,3,17.1
3,253,15,1992,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,,225,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karenni,1,0,3,1957-12-31,6,1992-09-22,1,1,1992-11-06,5.0,12729.0,775,,,,775,3,17.1
4,221,5,1994,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,1994-12-31,5,0,,,,775,,,,775,3,17.1
5,221,5,1995,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,1994-12-31,5,1,1995-07-13,1.0,16995.0,775,,,,775,3,17.1
6,253,15,1996,Myanmar (Burma),Government of Myanmar (Burma),,KNPP,,225,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karenni,1,0,3,1957-12-31,6,1996-03-06,2,1,1996-10-06,2.0,14159.0,775,,,,775,3,17.1
7,221,5,1997,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,1997-02-23,3,0,,,,775,,,,775,3,17.1
8,221,5,1998,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,180,2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,1997-02-23,3,1,1998-07-14,5.0,18092.0,775,,,,775,3,17.1
9,221,5,2000,Myanmar (Burma),Government of Myanmar (Burma),,"God's Army, KNU",,"181, 180",2,SIDE A,1,SIDE A + B,3,.  ,1,SIDE A ,.  ,1,0,.,.,1,SIDE A ,1,1,Karen,1,1,3,1948-12-31,3,2000-03-03,1,0,,,,775,,,,775,3,17.1
